2129221332 3019585587 0 4 1 4 3 0
1122779165 1759848582 0 4 6 4 4 0
3335169722 1055957875 0 5 1 5 3 0
1371561621 3550195819 0 3 6 3 4 0
2933757364 3031639039 0 6 0 5 2 0
1759629711 3833065073 0 3 4 4 3 0
1390104471 3286765471 0 5 2 4 4 0
1194317362 1640229218 0 1 7 3 6 0
2612579659 3425438631 0 3 1 3 3 0
373902755 2215392899 0 4 3 3 2 0
2175939233 2248820878 0 4 4 3 2 0
2211704369 904928888 0 6 7 5 5 0
243310960 3644829127 0 1 0 2 2 0
3739186921 1967320990 0 2 6 2 5 0
3575663995 955135088 0 3 0 5 2 0
3306550684 1057472508 0 3 6 1 5 0
2129221332 3019585587 0 4 1 4 3 0
1122779165 1759848582 0 4 6 4 4 0
3335169722 1055957875 0 5 1 5 3 0
1371561621 3550195819 0 3 6 3 4 0
2933757364 3031639039 0 4 3 3 4 0
2550491004 189422073 0 4 4 4 3 0
1589298982 851428927 0 3 1 3 2 0
4155467126 3202343461 0 6 7 5 5 0
2063346231 1376801178 0 1 0 2 2 0
2862874030 4268561347 0 5 7 1 3 0
3460231304 3662831929 -1 2 0 3 1 0
637643994 1849781752 -1 4 3 4 2 0
28632767 946298832 -1 3 1 4 2 0
4125570642 1662671798 -1 4 7 6 7 0
1243265278 1445376926 -1 4 2 3 1 0
4105681145 4292838758 -1 1 3 2 2 0
1531338604 706394330 -1 1 1 2 2 0
3103399056 2335228326 -1 5 5 3 4 0
2020579907 2889865925 -1 3 0 5 2 0
1750737572 2882949449 -1 5 7 4 7 0
4032544364 3670057033 -1 6 0 4 1 0
837505223 981733278 -1 1 7 2 5 0
2129221332 3019585587 0 4 1 4 3 0
1122779165 1759848582 0 4 6 4 4 0
3335169722 1055957875 0 5 1 5 3 0
1371561621 3550195819 0 3 6 3 4 0
2933757364 3031639039 0 4 3 3 4 0
2550491004 189422073 0 4 4 4 3 0
1589298982 851428927 1 3 1 3 2 0
4155467126 3202343461 1 4 3 3 2 0
1152399564 2023326998 1 5 0 3 2 0
1441026783 1202975150 1 6 7 5 5 0
3635879326 2877047313 1 1 0 2 2 0
149473799 117506120 1 5 7 4 6 0
3187452733 1433330533 1 6 0 5 2 0
1057084318 4151013316 1 4 7 6 7 0
2164022578 3260516332 1 4 0 6 0 0
2129221332 3019585587 0 4 1 4 3 0
1122779165 1759848582 0 4 6 4 4 0
3335169722 1055957875 0 5 1 5 3 0
1371561621 3550195819 0 3 6 3 4 0
2933757364 3031639039 0 4 3 3 4 0
2550491004 189422073 0 4 4 4 3 0
1589298982 851428927 1 3 1 3 2 0
4155467126 3202343461 1 3 7 3 4 0
340048724 3844599124 1 3 0 4 1 0
1290567519 1124869802 1 5 6 5 4 0
1327703613 2103067564 1 1 0 2 2 0
1699716552 2014008811 1 5 7 1 3 0
30576878 1546921745 1 2 0 3 1 0
3924675772 3894881232 1 1 3 2 2 0
1176251177 1038227052 1 3 1 2 2 0
2129221332 3019585587 0 4 1 4 3 0
